colecovision,"Frantic Freddy",NA,"Spectravideo International Ltd.",NA,NA,NA,http://vgcollect.com/images/front-box-art/27919.jpg
colecovision,Frenzy,"Davis, Nussrallah & Associates",Coleco,"Shoot 'Em Up",NA,1984,http://vgcollect.com/images/front-box-art/21486.jpg
colecovision,Frogger,"James Wickstead Design Associates","Parker Brothers",Arcade,NA,1983,http://vgcollect.com/images/front-box-art/17572.jpg
colecovision,"Frogger II: Threeedeep!",NA,"Parker Brothers",Classic,NA,NA,http://vgcollect.com/images/front-box-art/27924.jpg
colecovision,"Front Line",Nuvatec,Coleco,Arcade,NA,1984,http://vgcollect.com/images/front-box-art/17573.jpg
colecovision,Galaxian,NA,Atarisoft,NA,NA,NA,http://vgcollect.com/images/front-box-art/27929.jpg
colecovision,"Gamester 81 The Video Game - Grey Version",NA,NA,Arcade,None,"January 30 2014",http://vgcollect.com/images/front-box-art/54616.jpg
colecovision,"Gateway to Apshai",NA,Epyx,Adventure,NA,1984,http://vgcollect.com/images/front-box-art/21487.jpg
colecovision,GORF,Nuvatec,Coleco,NA,NA,1983,http://vgcollect.com/images/front-box-art/17416.jpg
colecovision,"Gust Buster",NA,NA,NA,NA,NA,http://vgcollect.com/images/front-box-art/27653.jpg
colecovision,Gyruss,NA,"Parker Brothers",Arcade,NA,1984,http://vgcollect.com/images/front-box-art/21488.jpg
colecovision,H.E.R.O.,NA,Activision,Action,NA,NA,http://vgcollect.com/images/front-box-art/27923.jpg
colecovision,"Heist, The","Micro Lab","Micro Fun",Action,NA,1983,http://vgcollect.com/images/front-box-art/21489.jpg
colecovision,Illusions,NA,Coleco,NA,NA,NA,http://vgcollect.com/images/front-box-art/27930.jpg
colecovision,"James Bond 007",NA,NA,Action,NA,1984,http://vgcollect.com/images/front-box-art/47536.jpg
colecovision,Jukebox,Spinnaker,NA,NA,NA,1984,http://vgcollect.com/images/front-box-art/33819.jpg
colecovision,"Jumpman Junior",NA,Epyx,Puzzle,NA,1983,http://vgcollect.com/images/front-box-art/21490.jpg
colecovision,"Jungle Hunt",Tatio,Atarisoft,Platformer,NA,1983,http://vgcollect.com/images/front-box-art/37022.jpg
colecovision,"Ken Uston Blackjack-Poker",Coleco,Coleco,Strategy,None,1982,http://vgcollect.com/images/front-box-art/16035.jpg
colecovision,"Keystone Kapers","Sydney Development Corp.",Activision,Action,NA,1984,http://vgcollect.com/images/front-box-art/21491.jpg
colecovision,"Lady Bug","Universal Co., inc.",Coleco,Classic,None,1982,http://vgcollect.com/images/front-box-art/16034.jpg
colecovision,"Learning with Leeper (Blue Label)","Sierra On-Line","Sierra On-Line, Inc.",Edutainment,None,1983,http://vgcollect.com/images/front-box-art/36402.jpg
colecovision,"Learning With Leeper (White Label)","Sierra On-Line","Sierra On-Line, Inc.",Edutainment,None,1983,http://vgcollect.com/images/front-box-art/35492.jpg
colecovision,"Logic Levels","Fisher-Price Learning Software","Fisher-Price Learning Software",Edutainment,NA,1984,http://vgcollect.com/images/front-box-art/31701.jpg
colecovision,Looping,"Venture Line, Inc.",Coleco,Action,None,1983,http://vgcollect.com/images/front-box-art/15874.jpg
colecovision,"Memory Manor",NA,NA,Edutainment,None,1984,http://vgcollect.com/images/front-box-art/67055.jpg
colecovision,"Miner 2049er","Big Five Software/CompuVid","Micro Fun",Action,NA,1983,http://vgcollect.com/images/front-box-art/21493.jpg
colecovision,"Monkey Academy",Konami,Coleco,Edutainment,NA,NA,http://vgcollect.com/images/front-box-art/27928.jpg
colecovision,"Montezuma's Revenge","Parker Brothers","Parker Brothers",Platformer,NA,NA,http://vgcollect.com/images/front-box-art/34158.jpg
colecovision,Moonsweeper,NA,Imagic,NA,NA,NA,http://vgcollect.com/images/front-box-art/27916.jpg
colecovision,"Motocross Racer",NA,NA,NA,NA,NA,http://vgcollect.com/images/front-box-art/27918.jpg
colecovision,"Mountain King",NA,NA,Action,NA,1984,http://vgcollect.com/images/front-box-art/68304.jpg
colecovision,"Mouse Trap","Sylvia Day",Coleco,Arcade,NA,1982,http://vgcollect.com/images/front-box-art/17093.jpg
colecovision,"Moutain King",NA,NA,Platformer,NA,1983,http://vgcollect.com/images/front-box-art/62314.jpg
colecovision,"Mr. Do!",Coleco,"Universal Co.",NA,NA,1983,http://vgcollect.com/images/front-box-art/17417.jpg
colecovision,"Mr. Do!'s Castle",NA,"Parker Bros.",Arcade,NA,1984,http://vgcollect.com/images/front-box-art/32154.jpg
colecovision,"Nova Blast",NA,Imagic,NA,NA,NA,http://vgcollect.com/images/front-box-art/27917.jpg
colecovision,"Oil's Well",NA,NA,NA,NA,NA,http://vgcollect.com/images/front-box-art/28867.jpg
colecovision,"Omega Race",NA,Coleco,Arcade,NA,1983,http://vgcollect.com/images/front-box-art/21494.jpg
colecovision,"Pepper II",Exidy,Coleco,Arcade,None,1983,http://vgcollect.com/images/front-box-art/19096.jpg
colecovision,"Pitfall II: The Lost Caverns",NA,Activision,NA,NA,NA,http://vgcollect.com/images/front-box-art/17574.jpg
colecovision,Pitfall!,Activision,Activision,Adventure,None,1982,http://vgcollect.com/images/front-box-art/26199.jpg
colecovision,Pitstop,"Epyx, Inc.",Epyx,Racing,None,"June 1 1983",http://vgcollect.com/images/front-box-art/15773.jpg
colecovision,"Pong / Computer Space",NA,NA,Classic,None,NA,http://vgcollect.com/images/front-box-art/57821.jpg
colecovision,Popeye,NA,"Parker Brothers",Arcade,NA,NA,http://vgcollect.com/images/front-box-art/17575.jpg
colecovision,Q*Bert,"Parker Brothers","Parker Brothers",Arcade,NA,1983,http://vgcollect.com/images/front-box-art/18848.jpg
colecovision,"Quest for Quintana Roo",NA,NA,Adventure,None,NA,http://vgcollect.com/images/front-box-art/54841.jpg
colecovision,"Richard Scarry's Best Electronic WORD BOOK Ever!",Coleco,Coleco,NA,NA,NA,http://vgcollect.com/images/front-box-art/no_art.jpg
colecovision,"River Raid","Sydney Development Corp.",Activision,"Shoot 'Em Up",NA,1984,http://vgcollect.com/images/front-box-art/17576.jpg
colecovision,"Robin Hood",NA,Xonox,Action,NA,1983,http://vgcollect.com/images/front-box-art/21495.jpg
colecovision,"Roc 'N Rope",Kosuka,Coleco,Arcade,NA,1983,http://vgcollect.com/images/front-box-art/21574.jpg
colecovision,"Rocky Super Action Boxing",Innoventions,Coleco,Sports,NA,1983,http://vgcollect.com/images/front-box-art/17577.jpg
colecovision,Rolloverture,NA,"Sunrise Software",NA,NA,NA,http://vgcollect.com/images/front-box-art/34640.jpg
colecovision,"Sammy Lightfoot","Sierra On-Line","Sierra On-Line",Platformer,NA,1984,http://vgcollect.com/images/front-box-art/32153.jpg
colecovision,"Sector Alpha",NA,NA,Action,NA,1983,http://vgcollect.com/images/front-box-art/17593.jpg
colecovision,"Sewer Sam","Interphase Technologies",Interphase,Arcade,None,1984,http://vgcollect.com/images/front-box-art/no_art.jpg
colecovision,"Sir Lancelot",NA,NA,NA,NA,NA,http://vgcollect.com/images/front-box-art/27655.jpg
colecovision,Slither,"Century II",Coleco,"Shoot 'Em Up",None,1983,http://vgcollect.com/images/front-box-art/15878.jpg
colecovision,Slurpy,NA,Xonox,NA,NA,NA,http://vgcollect.com/images/front-box-art/27913.jpg
colecovision,"Smurf Paint 'n' Play Workshop",NA,NA,NA,NA,NA,http://vgcollect.com/images/front-box-art/17418.jpg
colecovision,"Smurf: Rescue in Gargamel's Castle",NA,Coleco,Platformer,NA,1982,http://vgcollect.com/images/front-box-art/17578.jpg
colecovision,"Space Fury",NA,Coleco,Arcade,NA,1983,http://vgcollect.com/images/front-box-art/17420.jpg
colecovision,"Space Panic",NA,Coleco,Arcade,NA,1983,http://vgcollect.com/images/front-box-art/17419.jpg
colecovision,Spectron,Spectravideo,Spectravideo,Arcade,NA,NA,http://vgcollect.com/images/front-box-art/28146.jpg
colecovision,"Spy Hunter",Midway,Coleco,NA,NA,NA,http://vgcollect.com/images/front-box-art/27921.jpg
colecovision,"Squish'em featuring Sam",Interphase,Interphase,Action,None,1984,http://vgcollect.com/images/front-box-art/15772.jpg
colecovision,"Star Trek",NA,NA,Simulation,NA,NA,http://vgcollect.com/images/front-box-art/17591.jpg
colecovision,"Star Wars: The Arcade Game",NA,"Parker Brothers",Arcade,NA,1984,http://vgcollect.com/images/front-box-art/21496.jpg
colecovision,"Strike It",NA,Telegames,Classic,NA,NA,http://vgcollect.com/images/front-box-art/27914.jpg
colecovision,Subroc,NA,Coleco,Arcade,NA,1983,http://vgcollect.com/images/front-box-art/17421.jpg
colecovision,"Super Action Baseball","Gordon Martin & Associates",Coleco,Sports,NA,1983,http://vgcollect.com/images/front-box-art/17579.jpg
colecovision,"Super Action Football",Coleco,Coleco,Sports,None,1984,http://vgcollect.com/images/front-box-art/19097.jpg
colecovision,"Super Cobra",NA,"Parker Brothers",NA,NA,NA,http://vgcollect.com/images/front-box-art/27925.jpg
colecovision,"Super Cross Force",NA,Spectravision,Arcade,NA,1986,http://vgcollect.com/images/front-box-art/32548.jpg
colecovision,Superkicks,Xonox,Xonox,Arcade,None,NA,http://vgcollect.com/images/front-box-art/no_art.jpg
colecovision,Tapper,"Bally Midway Mfg. Co.",Coleco,NA,None,NA,http://vgcollect.com/images/front-box-art/30235.jpg
colecovision,Tarzan,"4D Interactive Systems",Coleco,Action,NA,1984,http://vgcollect.com/images/front-box-art/21589.jpg
colecovision,"Telly Turtle","Carousel Software",Coleco,Edutainment,None,1983,http://vgcollect.com/images/front-box-art/15872.jpg
colecovision,Threshold,NA,NA,"Shoot 'Em Up",NA,NA,http://vgcollect.com/images/front-box-art/47383.jpg
colecovision,"Time Pilot","Konami Industry Co. Ltd",Coleco,Action,None,1983,http://vgcollect.com/images/front-box-art/15875.jpg
colecovision,"Tomarc the Barbarian",NA,Xonox,Adventure,NA,1984,http://vgcollect.com/images/front-box-art/21497.jpg
colecovision,"Tournament Tennis","D&L Research",Imagic,Sports,None,1984,http://vgcollect.com/images/front-box-art/15497.jpg
