nes,"Adventures in the Magic Kingdom",NA,Capcom,Platformer,None,"June 1990",http://vgcollect.com/images/front-box-art/5815.jpg
nes,"Adventures of Bass 2, The",NA,NA,NA,NA,NA,http://vgcollect.com/images/front-box-art/no_art.jpg
nes,"Adventures of Bayou Billy, The","Konami Computer Entertainment Japan",Konami,Action,NA,"June 1989",http://vgcollect.com/images/front-box-art/9356.jpg
nes,"Adventures of Dino Riki","Hudson Soft","Hudson Soft",Action,None,"September 1989",http://vgcollect.com/images/front-box-art/5412.jpg
nes,"Adventures of Gilligan's Island, The",NA,Bandai,Adventure,NA,"July 1990",http://vgcollect.com/images/front-box-art/5721.jpg
nes,"Adventures of Lolo","HAL Laboratory","Hal America",Puzzle,None,"April 20 1989",http://vgcollect.com/images/front-box-art/5694.jpg
nes,"Adventures of Lolo 2",NA,"Hal America",Puzzle,NA,"March 1990",http://vgcollect.com/images/front-box-art/5695.jpg
nes,"Adventures of Lolo 3","HAL Laboratory","HAL Laboratory",Puzzle,None,"November 21 1991",http://vgcollect.com/images/front-box-art/5696.jpg
nes,"Adventures of Rad Gravity, The","Interplay Productions, Inc.",Activision,Platformer,None,"December 1990",http://vgcollect.com/images/front-box-art/5638.jpg
nes,"Adventures of Rocky & Bullwinkle and Friends, The","Radical Entertainment",THQ,Platformer,None,"December 1992",http://vgcollect.com/images/front-box-art/5413.jpg
nes,"Adventures of Tom Sawyer, The",NA,Seta,Action,NA,"August 1989",http://vgcollect.com/images/front-box-art/5414.jpg
nes,"After Burner",Sunsoft,Tengen,"Shoot 'Em Up",None,"March 1989",http://vgcollect.com/images/front-box-art/11644.jpg
nes,"Air Fortress",NA,"Hal America",Platformer,NA,"September 1989",http://vgcollect.com/images/front-box-art/5639.jpg
nes,Airball,NA,RetroZone,Puzzle,NA,NA,http://vgcollect.com/images/front-box-art/21307.jpg
nes,Airwolf,NA,Acclaim,"Flight Simulator",None,"June 1989",http://vgcollect.com/images/front-box-art/5948.jpg
nes,"Al Unser Jr. Turbo Racing","Data East Corporation","Data East",Racing,None,"March 1990",http://vgcollect.com/images/front-box-art/5887.jpg
nes,"Alfred Chicken",NA,Mindscape,Platformer,NA,"February 1994",http://vgcollect.com/images/front-box-art/5697.jpg
nes,"Alien 3",NA,LJN,Action,NA,"March 1993",http://vgcollect.com/images/front-box-art/5415.jpg
nes,"Alien Syndrome (Tengen - Black Cartridge)",Sega,Tengen,"Shoot 'Em Up",NA,1988,http://vgcollect.com/images/front-box-art/13451.jpg
nes,"All-Pro Basketball",NA,"Vic Tokai",Sports,None,"December 1989",http://vgcollect.com/images/front-box-art/5985.jpg
nes,"Alpha Mission (3 Screw Cartridge)",SNK,SNK,"Shoot 'Em Up",None,"October 1987",http://vgcollect.com/images/front-box-art/5416.jpg
