commodore64,Castlevania,NA,NA,Platformer,None,NA,http://vgcollect.com/images/front-box-art/58347.jpg
commodore64,"Caveman Ugh-lympics","Dynamix, Inc.","Electronic Arts",NA,NA,1988,http://vgcollect.com/images/front-box-art/18324.jpg
commodore64,Centipede,NA,NA,Arcade,None,NA,http://vgcollect.com/images/front-box-art/59349.jpg
commodore64,"Championship Golf","Hayden Software","Hayden Software",Sports,NA,1983,http://vgcollect.com/images/front-box-art/36927.jpg
commodore64,"Charlie Brown's ABCs","Random House","Random House",Edutainment,NA,"August 1 1984",http://vgcollect.com/images/front-box-art/22464.jpg
commodore64,Choplifter!,"Dan Gorlin","Broderbund Software",Classic,None,1982,http://vgcollect.com/images/front-box-art/22255.jpg
commodore64,"Classic Concentration",NA,"Sharedata Inc.",Other,None,1988,http://vgcollect.com/images/front-box-art/no_art.jpg
commodore64,Clowns,Commodore,Commodore,Arcade,NA,1981,http://vgcollect.com/images/front-box-art/36042.jpg
commodore64,"Club Backgammon","Logical Design Works","California Dreams",Strategy,NA,1988,http://vgcollect.com/images/front-box-art/35271.jpg
commodore64,"Clubhouse Sports","DesignStar Consultants, Inc.","Mindscape, Inc.",Sports,None,1988,http://vgcollect.com/images/front-box-art/no_art.jpg
commodore64,"Clue Master Detective",NA,"Leisure Genius",Other,None,1989,http://vgcollect.com/images/front-box-art/no_art.jpg
commodore64,"Congo Bongo",Sega,Sega,NA,NA,NA,http://vgcollect.com/images/front-box-art/28589.jpg
commodore64,"Cover Girl Strip Poker","Emotional Pictures","SCi Games",Strategy,NA,1991,http://vgcollect.com/images/front-box-art/22191.jpg
commodore64,"Crime Stopper","Hayden Software","Hayden Software",Adventure,NA,1983,http://vgcollect.com/images/front-box-art/36929.jpg
commodore64,"Crystal Caverns","Hayden Software","Hayden Software",Adventure,NA,1983,http://vgcollect.com/images/front-box-art/36931.jpg
commodore64,Deadline,Infocom,Commodore,Adventure,NA,1983,http://vgcollect.com/images/front-box-art/36041.jpg
commodore64,Defender,NA,NA,Arcade,None,1983,http://vgcollect.com/images/front-box-art/53645.jpg
commodore64,"Defender of the Crown","Master Designer Software",Cinemaware,Strategy,None,1987,http://vgcollect.com/images/front-box-art/no_art.jpg
commodore64,"Demon Stalkers","Micro Fort̩","Electronic Arts",Action,NA,1987,http://vgcollect.com/images/front-box-art/36591.jpg
commodore64,"Dig Dug","Namco Ltd.","Atari, Inc.",Arcade,NA,1983,http://vgcollect.com/images/front-box-art/no_art.jpg
commodore64,"Dot Gobbler",NA,NA,Arcade,NA,NA,http://vgcollect.com/images/front-box-art/68220.jpg
commodore64,"Double Dare",NA,Gametek,Other,None,1988,http://vgcollect.com/images/front-box-art/no_art.jpg
commodore64,"Double Dragon",NA,NA,"Beat 'Em Up",NA,NA,http://vgcollect.com/images/front-box-art/58348.jpg
commodore64,"Dragon's Lair","Software Projects ltd.","Electronic Arts",Arcade,None,NA,http://vgcollect.com/images/front-box-art/38654.jpg
